AIRPORT_NAME,LATITUDE,LONGITUDE,,,,,,,,,,,,,,,,,,last_edited_date
WESTOVER METROPOLITAN,42 11 52,72 31 50,,,,,,,,,,,,,,,,,,
PLUM ISLAND-NEWBURYPORT,42 47 45,70 50 30,,,,,,,,,,,,,,,,,,
WESTFIELD-BARNES MUNICIPAL,42 09 28,72 42 58,,,,,,,,,,,,,,,,,,
MEADOWBROOK,41 51 36,70 59 48,,,,,,,,,,,,,,,,,,
CANAPITSIT,41 25 20,70 54 34,,,,,,,,,,,,,,,,,,
GODDARD,42 48 35,71 08 21,,,,,,,,,,,,,,,,,,
PASPORT,42 11 15,72 08 35,,,,,,,,,,,,,,,,,,
LOGAN INTERNATIONAL AIRPORT,42 21 51,71 00 21,,,,,,,,,,,,,,,,,,
NANTUCKET MEMORIAL,41 15 11,70 03 39,,,,,,,,,,,,,,,,,,
CHATHAM MUNICIPAL,41 41 15,69 59 15,,,,,,,,,,,,,,,,,,
NORWOOD MEMORIAL,42 11 27,71 10 25,,,,,,,,,,,,,,,,,,
NEW BEDFORD REGIONAL,41 40 35,70 57 30,,,,,,,,,,,,,,,,,,
TURNERS FALLS,42 35 30,72 31 25,,,,,,,,,,,,,,,,,,
FITCHBURG MUNICIPAL,42 33 15,71 45 33,,,,,,,,,,,,,,,,,,
NORTH ADAMS,42 41 45,73 10 15,,,,,,,,,,,,,,,,,,
KENDALLS LANDING AREA,42 30 20,73 03 35,,,,,,,,,,,,,,,,,,
GREAT BARRINGTON,42 11 02,73 24 10,,,,,,,,,,,,,,,,,,
BAINES,42 18 58,73 01 55,,,,,,,,,,,,,,,,,,
BLUEBERRY HILL,42 22 30,73 08 51,,,,,,,,,,,,,,,,,,
WORTHINGTON,42 23 24,72 55 51,,,,,,,,,,,,,,,,,,
PITTSFIELD MUNICIPAL,42 25 36,73 17 36,,,,,,,,,,,,,,,,,,
MOREHAVEN,42 04 20,72 54 00,,,,,,,,,,,,,,,,,,
CANNIZZARO FIELD,42 04 47,72 49 05,,,,,,,,,,,,,,,,,,
MUNDALE,42 07 11,72 48 51,,,,,,,,,,,,,,,,,,
NORTHAMPTON,42 19 41,72 36 42,,,,,,,,,,,,,,,,,,
HADLEY,42 23 35,72 33 07,,,,,,,,,,,,,,,,,,
NORM'S FIELD,42 15 43,72 24 29,,,,,,,,,,,,,,,,,,
METROPOLITAN,42 13 24,72 18 41,,,,,,,,,,,,,,,,,,
ORANGE MUNICIPAL,42 34 04,72 17 28,,,,,,,,,,,,,,,,,,
WARE,42 16 55,72 12 53,,,,,,,,,,,,,,,,,,
GARDNER MUNICIPAL,42 33 00,72 01 00,,,,,,,,,,,,,,,,,,
SOUTHBRIDGE MUNICIPAL,42 06 03,72 02 20,,,,,,,,,,,,,,,,,,
DRESSER HILL,42 06 00,71 57 58,,,,,,,,,,,,,,,,,,
TANNER-HILLER,42 21 15,72 07 45,,,,,,,,,,,,,,,,,,
B&B FARM,42 20 46,72 06 14,,,,,,,,,,,,,,,,,,
OXFORD,42 09 07,71 50 08,,,,,,,,,,,,,,,,,,
WATERS,42 07 30,71 44 23,,,,,,,,,,,,,,,,,,
SPENCER AIRPORT,42 17 30,71 57 45,,,,,,,,,,,,,,,,,,
WORCESTER REGIONAL,42 16 02,71 52 33,,,,,,,,,,,,,,,,,,
MARSHALL'S,42 21 48,71 49 18,,,,,,,,,,,,,,,,,,
STERLING,42 25 30,71 47 30,,,,,,,,,,,,,,,,,,
SHIRLEY,42 31 37,71 39 52,,,,,,,,,,,,,,,,,,
HOPEDALE INDUSTRIAL AIRPARK,42 06 25,71 30 40,,,,,,,,,,,,,,,,,,
BERLIN LANDING AREA,42 22 03,71 38 30,,,,,,,,,,,,,,,,,,
PEPPERELL,42 41 46,71 33 00,,,,,,,,,,,,,,,,,,
STOW-MINUTEMAN AIRFIELD,42 25 30,71 31 00,,,,,,,,,,,,,,,,,,
SIDS,42 26 18,71 27 58,,,,,,,,,,,,,,,,,,
MARLBORO,42 20 30,71 30 39,,,,,,,,,,,,,,,,,,
KALLANDER FIELD,42 18 15,71 30 21,,,,,,,,,,,,,,,,,,
SUDBURY,42 21 03,71 25 47,,,,,,,,,,,,,,,,,,
LAWRENCE MUNICIPAL,42 43 02,71 07 26,,,,,,,,,,,,,,,,,,
SNOW,42 39 59,70 51 11,,,,,,,,,,,,,,,,,,
BEVERLY MUNICIPAL,42 35 03,70 55 03,,,,,,,,,,,,,,,,,,
HANSCOM FIELD,42 28 12,71 17 22,,,,,,,,,,,,,,,,,,
MANSFIELD MUNICIPAL,42 00 15,71 12 00,,,,,,,,,,,,,,,,,,
TAUNTON MUNICIPAL,41 52 45,71 01 15,,,,,,,,,,,,,,,,,,
BERKELY-MYRICKS,41 50 20,71 01 33,,,,,,,,,,,,,,,,,,
ALLEN'S POND,41 30 40,71 01 41,,,,,,,,,,,,,,,,,,
WESTPORT,41 32 35,71 02 07,,,,,,,,,,,,,,,,,,
MARSHFIELD MUNICIPAL,42 05 53,70 40 21,,,,,,,,,,,,,,,,,,
PHEASANT FIELD,42 04 31,70 48 55,,,,,,,,,,,,,,,,,,
SHERMAN-PRIVATE,42 04 26,70 47 53,,,,,,,,,,,,,,,,,,
HANSON-CRANLAND,42 01 29,70 50 19,,,,,,,,,,,,,,,,,,
PROVINCETOWN MUNICIPAL,42 04 19,70 13 19,,,,,,,,,,,,,,,,,,
PLYMOUTH MUNICIPAL,41 54 45,70 43 35,,,,,,,,,,,,,,,,,,
BULLJUMP,41 48 26,70 45 30,,,,,,,,,,,,,,,,,,
BARNSTABLE MUNICIPAL,41 40 07,70 16 48,,,,,,,,,,,,,,,,,,
MARSTONS MILLS-CAPE COD,41 41 15,70 24 15,,,,,,,,,,,,,,,,,,
FALMOUTH AIRPARK,41 35 05,70 32 30,,,,,,,,,,,,,,,,,,
TRADE WIND,41 26 30,70 34 13,,,,,,,,,,,,,,,,,,
MARTHA'S VINEYARD,41 23 34,70 36 57,,,,,,,,,,,,,,,,,,
EDGARTOWN-KATAMA AIRPARK,41 21 30,70 31 30,,,,,,,,,,,,,,,,,,
MUSKEGET ISLAND,41 20 05,70 17 58,,,,,,,,,,,,,,,,,,
TUCKERNECK,41 17 51,70 15 37,,,,,,,,,,,,,,,,,,
SKY GLEN,42 02 27,71 36 58,,,,,,,,,,,,,,,,,,
WORMID,42 17 38,71 29 46,,,,,,,,,,,,,,,,,,
UNKNOWN FIELD,42 16 44,71 32 52,,,,,,,,,,,,,,,,,,
MERRIMACK VALLEY SEAPLANE BASE,42 42 00,71 12 58,,,,,,,,,,,,,,,,,,
MONPONSETT POND SEAPLANE BASE,42 00 35,70 50 35,,,,,,,,,,,,,,,,,,
