# Directed graph (each unordered pair of nodes is saved once): web-Google.txt 
# Webgraph from the Google programming contest, 2002
# Nodes: 875713 Edges: 5105039
# FromNodeId	ToNodeId
0	11342
0	824020
0	867923
0	891835
11342	0
824020	0
867923	0
891835	0
1	203402
1	276233
1	552600
1	569212
1	748615
1	862566
203402	1
276233	1
552600	1
569212	1
748615	1
862566	1
2	30957
2	357310
2	423174
2	430119
2	462435
2	472889
2	565424
30957	2
357310	2
423174	2
430119	2
462435	2
472889	2
565424	2
