datetime,city,state,country,shape,duration (seconds)
10/10/49 20:30,san marcos,tx,us,cylinder,2700
10/10/49 21:00,lackland afb,tx,,light,7200
10/10/55 17:00,chester (uk/england),,gb,circle,20
10/10/56 21:00,edna,tx,us,circle,20
10/10/60 20:00,kaneohe,hi,us,light,900
10/10/61 19:00,bristol,tn,us,sphere,300
10/10/65 21:00,penarth (uk/wales),,gb,circle,180
10/10/65 23:45,norwalk,ct,us,disk,1200
10/10/66 20:00,pell city,al,us,disk,180
10/10/66 21:00,live oak,fl,us,disk,120
10/10/68 13:00,hawthorne,ca,us,circle,300
10/10/68 19:00,brevard,nc,us,fireball,180
10/10/70 16:00,bellmore,ny,us,disk,1800
10/10/70 19:00,manchester,ky,us,unknown,180
10/10/71 21:00,lexington,nc,us,oval,30
10/10/72 19:00,harlan county,ky,us,circle,1200
10/10/72 22:30,west bloomfield,mi,us,disk,120
10/10/73 19:00,niantic,ct,us,disk,1800
10/10/73 23:00,bermuda nas,,,light,20
10/10/74 19:30,hudson,ma,us,other,2700
10/10/74 21:30,cardiff (uk/wales),,gb,disk,1200
10/10/74 23:00,hudson,ks,us,light,1200
10/10/75 17:00,north charleston,sc,us,light,360
10/10/76 20:30,washougal,wa,us,oval,60
10/10/76 22:00,stoke mandeville (uk/england),,gb,cigar,3
10/10/77 12:00,san antonio,tx,us,other,30
10/10/77 22:00,louisville,ky,us,light,30
10/10/78 02:00,elmont,ny,us,rectangle,300
10/10/79 00:00,poughkeepsie,ny,us,chevron,900
10/10/79 22:00,saddle lake (canada),ab,,triangle,270
10/10/79 22:00,san diego,ca,us,oval,180
10/10/79 22:00,security,co,us,unknown,1800
10/10/80 19:00,houston,tx,us,sphere,180
10/10/80 22:00,dallas,tx,us,unknown,300
10/10/80 23:30,manchester,nh,us,light,300
10/10/82 07:00,gisborne (new zealand),,,disk,120
10/10/84 05:00,houston,tx,us,circle,60
10/10/84 12:00,traverse city,mi,us,other,120
10/10/84 22:00,white plains,ny,us,formation,20
10/10/85 20:25,leeds (uk/england),,gb,triangle,600
10/10/86 20:00,holmes/pawling,ny,,chevron,180
10/10/88 18:00,milwaukee,wi,us,triangle,600
10/10/88 21:00,new gloucester,me,us,unknown,120
10/10/88 22:00,boulder,co,us,light,60
10/10/88 22:45,seattle (ballard area),wa,us,unknown,2
10/10/89 00:00,calabasas,ca,us,disk,300
10/10/89 21:00,centralia,wa,us,triangle,60
10/10/89 21:00,kranklin,ky,,triangle,180
10/10/90 21:00,ashburn,ga,us,triangle,120
10/10/91 22:00,frisco,nc,us,unknown,1800
10/10/91 22:00,harrisburg,pa,us,triangle,600
10/10/92 17:00,panama city,fl,us,formation,3600
10/10/92 18:00,stafford,tx,us,unknown,10
10/10/92 20:15,seymour,tn,us,cigar,60
10/10/92 22:00,weatherford,tx,us,unknown,30
10/10/93 03:00,zlatoust (russia),,,sphere,1200
10/10/93 22:00,peoria,il,us,light,8
10/10/93 23:00,carthage,tn,us,other,60
10/10/94 15:00,mercedies,tx,,cigar,3600
10/10/94 18:30,burnt hills,ny,us,rectangle,120
10/10/94 22:00,pinebergen,ar,us,light,5
10/10/94 23:00,toronto (greater toronto area) (canada),on,ca,sphere,3600
10/10/95 19:45,milwaukee,wi,us,,120
10/10/95 22:40,oakland,ca,us,,60
10/10/96 03:20,higginsville,mo,us,triangle,3
10/10/96 20:00,lake macquarie (nsw&#44 australia),,,light,300
10/10/96 22:00,charleston,sc,us,light,300
10/10/96 22:30,monroe county,oh,us,cylinder,60
10/10/97 16:00,connersville,in,us,delta,14400
10/10/97 17:00,mesa,az,us,sphere,30
10/10/97 20:00,bonaire,ga,us,triangle,300
10/10/97 21:00,austin,mn,us,other,3600
10/10/98 02:30,hollywood,ca,us,changing,300
10/10/98 03:30,phoenix (north part),az,us,fireball,15
10/10/98 13:15,elgin,il,us,cylinder,1800
10/10/98 17:30,las vegas,nv,us,cigar,600
10/10/98 17:30,las vegas,nv,us,circle,2700
10/10/98 20:30,nyc/westchester area,ny,,triangle,60
10/10/98 20:30,spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254),wa,us,triangle,600
10/10/98 20:50,mooresville,nc,us,light,2
10/10/98 22:30,st. john&#39s (canada),nf,ca,egg,7200
10/10/98 23:50,delano,tn,us,fireball,15
10/10/99 00:01,martinez,ca,us,changing,3600
10/10/99 04:00,kansas city,ks,us,unknown,600
10/10/99 06:00,dallas,tx,us,other,10
10/10/99 11:00,san diego,ca,us,fireball,3600
10/10/99 12:40,kennewick,wa,us,sphere,45
10/10/99 20:35,hayward,ca,us,circle,90
10/10/99 21:00,rachel,nv,us,light,10800
10/10/99 21:30,humphrey,ne,us,sphere,300
10/10/99 22:30,casey key (north end of),fl,,triangle,120
10/10/99 22:30,elgin,or,us,chevron,240
10/10/99 23:45,lewiston,mi,us,oval,2700
10/10/00 03:00,perryville,mo,us,oval,180
10/10/00 06:15,boynton beach,fl,us,other,10
10/10/00 07:30,victoria (canada),bc,ca,cylinder,30
10/10/00 16:00,jueanu,wi,,triangle,45
10/10/00 20:20,valley park area of st. louis,mo,,oval,15
10/10/00 20:30,brinktown,mo,us,light,1800
10/10/00 21:30,florence,ky,us,light,5
10/10/00 21:30,seattle (west),wa,us,unknown,10
10/10/00 22:00,port orchard,wa,us,diamond,60
10/10/01 03:00,rockwell city,ia,us,triangle,240
10/10/01 04:33,sydney (nsw&#44 australia),,au,formation,180
10/10/01 20:10,vancouver (canada),bc,ca,other,300
10/10/01 20:35,hayward,ca,us,circle,120
10/10/01 21:15,ottumwa,ia,us,rectangle,300
10/10/01 21:30,fresno,ca,us,changing,900
10/10/01 22:00,phoenix,az,us,triangle,60
10/10/01 23:00,virginia beach,va,us,triangle,30
10/10/02 00:01,hayward,wi,us,flash,43
10/10/02 02:00,philomath,or,us,unknown,5
10/10/02 04:00,adelaide (pt. wakefield) (south australia),,au,circle,600
10/10/02 06:00,seattle,wa,us,sphere,90
10/10/02 19:45,victoria (canada),bc,ca,unknown,120
10/10/02 20:30,cincinnati,oh,us,other,1800
10/10/02 21:00,portland,or,us,circle,120
10/10/03 09:00,new buffulo,mi,,light,120
10/10/03 12:00,alhambra,ca,us,oval,300
10/10/03 18:00,indianapolis,in,us,sphere,1800
10/10/03 19:15,centreville,va,us,other,600
10/10/03 20:05,grand view,id,us,light,15
10/10/03 20:25,temperance,mi,us,oval,18000
10/10/03 21:10,crescent beach,sc,us,formation,37800
10/10/03 22:00,albuquerque,nm,us,light,180
10/10/03 23:00,bickerton (near wetherby) (uk/england),,,unknown,2700
10/10/03 23:25,gleason,wi,us,sphere,1800
10/10/04 02:50,mahwah,nj,us,triangle,180
10/10/04 03:30,worthington st. forest,nj,,other,2700
10/10/04 03:50,portage la prairie (canada),mb,ca,changing,1200
10/10/04 04:18,terre haute,in,us,sphere,5
10/10/04 08:30,indianapolis,in,us,oval,15
10/10/04 09:45,nobel (canada),on,ca,unknown,300
10/10/04 14:00,morgantown,wv,us,circle,10
10/10/04 15:00,berkeley,ca,us,unknown,180
10/10/04 15:00,rock island,il,us,sphere,3600
10/10/04 15:20,kedainiai (lithuania),,,oval,240
10/10/04 19:00,chateauqua,ny,,formation,1200
10/10/04 19:00,ripley,ny,us,circle,900
10/10/04 21:00,faribault,mn,us,flash,900
10/10/04 21:00,mansfield,oh,us,light,7200
10/10/04 22:00,columbia,mo,us,light,60
10/10/04 23:30,gleason,wi,us,sphere,3000
10/10/05 07:40,seattle,wa,us,other,60
10/10/05 09:00,apache junction,az,us,other,30
10/10/05 09:30,north miami beach,fl,us,oval,1800
10/10/05 14:45,los angeles,ca,us,egg,10
10/10/05 20:00,loretto,pa,us,triangle,300
10/10/05 20:00,newtown (uk/wales),,gb,formation,360
10/10/05 21:00,lewisburg,tn,us,unknown,240
10/10/05 21:30,north miami beach,fl,us,other,3600
10/10/05 22:08,east wenatchee,wa,us,light,1200
10/10/05 23:00,hendersonville,nc,us,light,600
10/10/05 23:07,brainerd,mn,us,disk,300
10/10/06 01:00,pennington,tx,us,diamond,3600
10/10/06 05:00,san francisco,ca,us,triangle,600
10/10/06 12:37,blairsville,ga,us,unknown,10
10/10/06 16:00,savannah,tn,us,light,600
10/10/06 16:00,waynesboro,va,us,triangle,600
10/10/06 19:00,unsure,ar,,fireball,2
10/10/06 20:00,bray,ok,us,other,360
10/10/06 21:47,plymouth (devonshire) (uk/england),,gb,formation,120
10/10/06 22:40,waycross,ga,us,light,120
10/10/06 22:50,wolfforth,tx,us,disk,300
10/10/06 23:00,lyndhurst,oh,us,unknown,300
10/10/07 01:00,lebanon,or,us,light,14400
10/10/07 01:00,stockbridge,ga,us,changing,3600
10/10/07 04:00,denver,co,us,changing,2700
10/10/07 04:30,jacksonville,fl,us,sphere,30
10/10/07 06:00,indio,ca,us,oval,600
10/10/07 13:00,owego,ny,us,triangle,10800
10/10/07 18:33,downingtown,pa,us,circle,120
10/10/07 19:00,austin,tx,us,flash,3
10/10/07 20:10,starrsville (covington),ga,us,sphere,60
10/10/07 20:24,west palm beach florida,fl,,fireball,180
10/10/07 20:30,conyers,ga,us,unknown,3600
10/10/07 20:55,vero beach,fl,us,unknown,30
10/10/07 21:00,jensen beach,fl,us,oval,120
10/10/07 21:43,houston,tx,us,formation,35
10/10/07 22:00,duluth,mn,us,light,600
10/10/07 22:00,fleming,co,us,circle,600
10/10/07 22:00,grove city,pa,us,unknown,3600
10/10/07 22:00,van alstyne,tx,us,other,4
10/10/07 23:05,northglenn,co,us,triangle,15
10/10/07 23:20,stord (norway),,,light,600
10/10/08 02:00,london (canada),on,ca,other,120
10/10/08 02:00,north branch,mn,us,light,300
10/10/08 02:00,slingerlands,ny,us,circle,240
10/10/08 04:00,carlin,nv,us,disk,600
10/10/08 04:50,evansville,in,us,formation,600
10/10/08 06:00,albany,ny,us,oval,45
10/10/08 10:22,fremont,ca,us,triangle,60
10/10/08 18:00,yuma,az,us,triangle,900
10/10/08 19:00,south bend,in,us,light,600
10/10/08 20:00,la crescent,mn,us,formation,10
10/10/08 20:00,moon township,pa,,unknown,120
10/10/08 20:00,philadelphia,pa,us,oval,60
10/10/08 20:00,seattle,wa,us,light,180
10/10/08 20:40,pueblo,co,us,light,300
10/10/08 21:30,cincinnati,oh,us,oval,900
10/10/08 22:00,san diego,ca,us,disk,30
10/10/08 22:30,madison,wi,us,circle,20
10/10/08 23:15,coldwater,oh,us,sphere,60
10/10/09 12:00,crested butte,co,us,egg,60
10/10/09 12:42,tulsa,ok,us,unknown,6
10/10/09 16:24,eagar,az,us,unknown,180
10/10/09 19:30,suffolk,va,us,unknown,900
10/10/09 20:30,anaheim,ca,us,light,300
10/10/09 20:45,wilmington,nc,us,light,600
10/10/09 21:00,leesburg,va,us,disk,300
10/10/09 23:00,michigan city,in,us,changing,900
10/10/09 23:23,cupertino,ca,us,light,180
10/10/10 01:00,orchard park,ny,us,light,7200
10/10/10 02:30,harrisburg,pa,us,circle,240
10/10/10 03:00,euclid,oh,us,circle,180
10/10/10 08:30,starr,sc,us,formation,600
10/10/10 12:00,greenwich,ct,us,light,240
10/10/10 13:00,north charleston,sc,us,light,180
10/10/10 15:00,san francisco airport,ca,,triangle,300
10/10/10 16:30,springfield,va,us,cigar,15
10/10/10 17:10,bridgeport,ct,us,light,600
10/10/10 18:30,clackamas,or,us,triangle,120
10/10/10 20:00,san angelo,tx,us,oval,60
10/10/10 20:20,windsor,ct,us,fireball,5
10/10/10 20:45,sterling,il,us,cylinder,600
10/10/10 21:00,everett,wa,us,other,30
10/10/10 21:00,kykotsmovi,az,us,disk,7200
10/10/10 21:30,albany,ny,us,circle,10
10/10/10 22:30,garden grove,ca,us,egg,7200
10/10/10 23:00,miami,fl,us,changing,1200
10/10/11 00:00,troy,ny,us,triangle,7200
10/10/11 01:00,farmington,nm,us,circle,300
10/10/11 02:00,prescott valley,az,us,other,300
10/10/11 10:30,ashville,ny,us,circle,60
10/10/11 14:00,epsom (surrey) (uk/england),,gb,oval,300
10/10/11 14:30,north kingstown,ri,us,oval,40
10/10/11 15:00,groton,ct,us,disk,5
10/10/11 18:15,peabody-saugus,ma,,flash,2700
10/10/11 19:00,mechanicsville,va,us,light,300
10/10/11 19:30,murfeesboro/smyrna,tn,,,2700
10/10/11 20:00,hamilton (canada),on,ca,flash,4
10/10/11 20:00,middletown,ct,us,fireball,1200
10/10/11 21:00,lakewood,oh,us,fireball,60
10/10/11 21:00,york,pa,us,circle,15
10/10/11 21:55,north platte,ne,us,circle,3
10/10/11 23:00,waynesville,oh,us,triangle,90
10/10/12 10:15,bridgeport,ct,us,circle,630
10/10/12 15:00,san francisco airport,ca,,triangle,300
10/10/12 18:56,san diego,ca,us,sphere,240
10/10/12 19:09,sterling heights,mi,us,oval,120
10/10/12 19:40,syracuse,ny,us,light,900
10/10/12 19:45,syracuse,ny,us,circle,240
10/10/12 20:00,colorado springs,co,us,light,20
10/10/12 20:00,moundville,al,us,changing,240
10/10/12 20:15,new york city (bronx),ny,us,disk,1800
10/10/12 20:17,mount albert (canada),on,,triangle,30
10/10/12 20:30,las cruces,nm,us,fireball,120
10/10/12 20:30,marion,il,us,light,240
10/10/12 20:30,san jose,ca,us,other,6
10/10/12 20:45,phoenix,az,us,sphere,300
10/10/12 20:48,yakima,wa,us,light,240
10/10/12 21:00,austin,tx,us,changing,1200
10/10/12 21:00,bean station,tn,us,cigar,180
10/10/12 21:00,rochester,wa,us,light,600
10/10/12 23:01,suffern,ny,us,cylinder,20
10/10/12 23:20,rancho mirage,ca,us,rectangle,5
10/10/13 00:00,clifton,nj,,light,60
10/10/13 02:32,palm harbor,fl,us,chevron,5
10/10/13 05:00,aurburn,ky,,triangle,600
10/10/13 17:00,st. louis county,mo,us,light,10800
10/10/13 17:10,ottawa (canada),on,ca,light,10
10/10/13 19:00,rittman,oh,us,light,60
10/10/13 19:15,harvey station (canada),nb,ca,light,120
10/10/13 19:20,essex junction,vt,us,light,120
10/10/13 19:20,kenner,la,us,circle,600
10/10/13 20:00,drexel,oh,us,circle,300
10/10/13 20:00,hudson,nh,us,light,5
10/10/13 20:30,grand blanc,mi,us,light,1200
10/10/13 20:30,savage,mn,us,circle,60
10/10/13 20:32,warren,mi,us,sphere,45
10/10/13 20:35,canton,mi,us,triangle,180
10/10/13 21:17,lost creek,wv,us,triangle,45
10/10/13 21:30,hudson,nh,us,light,1
10/11/73 16:45,jupiter,fl,us,egg,14400
10/11/78 23:00,brighton,mi,us,circle,300
10/11/86 20:30,alice springs  (nt&#44 australia),,au,,20
10/11/87 21:30,minnetonka,mn,us,light,30
10/11/87 23:59,otto,mo,us,fireball,60
10/11/89 21:00,kewanee,il,us,sphere,180
10/11/89 21:00,kewanee,il,us,sphere,300
10/11/92 10:00,albuquerque,nm,us,sphere,900
10/11/94 02:00,jackson,nj,us,triangle,300
10/11/94 04:00,riverside,ca,us,chevron,4
10/11/95 18:30,new york city (brooklyn),ny,us,,720
10/11/95 20:00,huntington,wv,us,,120
10/11/96 22:00,damascus,va,us,light,60
10/11/97 22:00,hafnarfjordur (iceland),,,sphere,300
10/11/98 02:15,montara,ca,us,other,3600
10/11/98 14:05,vega baja (puerto rico),pr,us,cigar,120
10/11/98 14:30,mount carmel,tn,us,light,10
10/11/98 20:30,highland,in,us,sphere,14400
10/11/98 22:40,bar harbor (bar island crossover),me,us,sphere,30
10/11/98 22:45,elk grove,ca,us,fireball,4
10/11/99 00:15,montgomery,al,us,light,180
10/11/99 04:30,los angeles,ca,us,light,300
10/11/99 06:10,somerset?,wi,,unknown,120
10/11/99 07:40,three rivers,mi,us,oval,600
10/11/99 09:10,canby,or,us,light,10
10/11/99 18:00,parry sound (near) (canada),on,ca,disk,6
10/11/99 20:15,portville,ny,us,oval,30
10/11/99 20:15,portville,ny,us,oval,30
10/11/99 20:15,portville,ny,us,oval,60
10/11/99 20:15,portville,ny,us,oval,60
10/11/99 20:35,kirbyville (due south of),mo,us,other,5400
10/11/99 21:00,winnemucca,nv,us,cigar,2
10/11/99 21:10,ashland,or,us,triangle,45
10/11/99 21:30,augusta,ks,us,light,600
10/11/99 21:30,montgomery,tx,us,light,3600
10/11/99 21:45,eureka springs,ar,us,light,900
10/11/99 22:15,parker&#39s lake,ky,,disk,900
10/11/99 22:30,addison (i-355 and us 20 (lake st.),il,us,disk,600
10/11/00 19:30,london (uk/england),,gb,diamond,3
10/11/00 20:00,watertown,ny,us,light,30
10/11/00 22:00,elverta,ca,us,light,30
10/11/00 22:09,dolgellau (uk/wales),,gb,changing,240
10/11/00 23:30,whittier,ca,us,light,1500
10/11/01 01:00,somerset,wi,us,light,10800
10/11/01 02:15,fairbanks,ak,us,other,1800
10/11/01 05:15,denver,co,us,light,900
10/11/01 08:15,columbia,ms,us,teardrop,300
10/11/01 20:35,grass valley,ca,us,triangle,60
10/11/01 23:49,lima,oh,us,teardrop,300
10/11/02 06:17,springfield,mo,us,fireball,6
10/11/02 13:25,reno,nv,us,sphere,600
10/11/02 16:15,randolph,ma,us,cylinder,300
10/11/02 20:36,dallas,tx,us,fireball,3
10/11/03 00:00,san diego,ca,us,,172800
10/11/03 00:20,austin,mn,us,circle,5
10/11/03 01:29,new york city (manhattan),ny,us,egg,120
10/11/03 03:00,truckee,ca,us,sphere,3
10/11/03 07:00,fort knox,ky,,fireball,3
10/11/03 11:32,newaygo,mi,us,circle,40
10/11/03 13:00,nebraska (above?&#44 or above south dakota),ne,,cigar,2
10/11/03 19:05,placerville,ca,us,light,600
10/11/03 20:00,frederick,co,us,unknown,10
10/11/03 20:30,bloomington,in,us,disk,180
10/11/03 22:40,independence,mo,us,chevron,600
10/11/04 01:00,honolulu,hi,us,triangle,3
10/11/04 02:37,los angeles,ca,us,rectangle,20
10/11/04 03:40,dallas,or,us,light,20
10/11/04 04:15,pitman,nj,us,other,7200
10/11/04 05:00,san jose,ca,us,light,15
10/11/04 10:00,nuevo laredo (mexico),,,light,1200
10/11/04 11:00,salinas,ca,us,formation,2700
10/11/04 14:00,arroyo grande,ca,us,circle,60
10/11/04 18:00,fresno,ca,us,rectangle,120
10/11/04 19:00,strongsvilles,oh,,light,5
10/11/04 22:29,laredo,tx,us,fireball,1351
10/11/04 23:00,lake worth,fl,us,formation,7200
10/11/04 23:15,williamsville,ny,us,light,540
10/11/05 00:00,cannock (uk/england),,gb,formation,180
10/11/05 00:00,holiday,fl,us,light,180
10/11/05 03:00,eagan,mn,us,circle,7200
10/11/05 03:20,siloam sprngs,ar,,circle,180
10/11/05 16:00,canyonlands np,ut,,formation,600
10/11/05 16:36,lake point,ut,us,light,720
10/11/05 18:33,pearl harbor,hi,,light,2
10/11/05 18:45,peoria,az,us,light,5400
10/11/05 19:00,buckeye,az,us,formation,1800
10/11/05 19:00,casa grande,az,us,light,1800
10/11/05 19:30,tempe,az,us,triangle,3
10/11/05 19:45,mobile,al,us,light,1800
10/11/05 21:00,little ferry,nj,us,oval,300
10/11/05 21:00,wall lake,ia,us,light,10
10/11/05 21:50,rotherham (south yorkshire) (uk/england),,gb,oval,3600
10/11/06 01:25,nashville,tn,us,disk,13
10/11/06 02:00,calumet city,in,,circle,420
10/11/06 05:40,york,me,,disk,30
10/11/06 09:00,littlerock,ar,,oval,600
10/11/06 11:29,lynnwood,wa,us,unknown,120
10/11/06 19:00,monterey park,ca,us,fireball,120
10/11/06 19:30,two harbors,mn,us,light,600
10/11/06 20:45,pensacola,fl,us,diamond,3600
10/11/06 21:00,milton,fl,us,light,900
10/11/06 21:20,kidlington (uk/england),,gb,formation,5
10/11/06 21:32,la crescenta,ca,us,circle,3
10/11/06 22:00,enid,ok,us,light,60
10/11/06 23:00,pampa,tx,us,triangle,60
39002,rome,ny,us,oval,120
10/11/07 04:40,melbourne,ky,us,oval,360
10/11/07 10:10,carlton,or,us,cylinder,900
10/11/07 16:00,clackamas,or,us,circle,900
10/11/07 19:28,brassall (australia),,,unknown,3600
10/11/07 19:50,seattle,wa,us,triangle,10
10/11/07 20:15,tega cay,sc,us,light,1800
10/11/07 20:30,gulf shores,al,us,disk,1800
10/11/07 23:00,london (uk/england),,gb,unknown,300
10/11/08 00:00,klagenfurt (austria),,,chevron,60
10/11/08 04:30,brownsville,tx,us,disk,3
10/11/08 06:00,concord,ca,us,light,180
10/11/08 13:00,salisbury,nc,us,sphere,20
10/11/08 17:30,bellmere (australia),,,cylinder,240
10/11/08 19:00,bridgeport,ct,us,circle,7200
10/11/08 19:00,dover,md,us,sphere,7200
10/11/08 19:00,riverside,ca,us,light,60
10/11/08 19:30,naples,fl,us,triangle,30
10/11/08 20:30,centerville,tx,us,light,900
10/11/08 20:30,villa park/lombard,il,,changing,300
10/11/08 22:20,albuquerque,nm,us,fireball,120
10/11/08 22:30,los angeles,ca,us,triangle,30
10/11/09 00:00,sedro woolley,wa,,unknown,10
10/11/09 02:45,deer park,ny,us,other,10800
10/11/09 04:00,crisfield,md,us,light,600
10/11/09 04:45,st. john&#39s (canada),nf,ca,flash,5
10/11/09 09:45,plymouth,mi,us,triangle,20
10/11/09 12:30,glendale,az,us,egg,1200
10/11/09 18:00,louisville,ky,us,disk,120
10/11/09 18:05,west palm beach,fl,us,oval,3
10/11/09 19:00,north smithfield,ri,us,circle,15
10/11/09 19:50,putnamville,in,us,flash,540
10/11/09 21:55,madison,wi,us,light,180
10/11/10 00:30,redondo beach,ca,us,other,1200
10/11/10 04:00,moxee,wa,,rectangle,1
10/11/10 04:50,albany,ny,us,oval,120
10/11/10 06:20,west palm beach,fl,us,sphere,2400
10/11/10 12:30,orangevale,ca,us,changing,2700
10/11/10 19:40,cottage grove,mn,us,light,240
10/11/10 20:50,glendora,ca,us,circle,60
10/11/10 20:53,ramona,ca,us,triangle,5
10/11/10 21:35,union city,ca,us,other,15
10/11/10 23:20,clinton township,mi,,fireball,15
10/11/11 03:15,omaha,il,us,chevron,120
10/11/11 08:40,henderson,nv,us,other,180
10/11/11 15:00,cedar city,ut,us,light,8
10/11/11 19:40,des moines,ia,us,light,90
10/11/11 19:42,new bedford,ma,us,circle,1800
10/11/11 21:00,monroe,ct,us,,300
10/11/11 21:10,holden beach,nc,us,circle,30
10/11/11 23:23,harrodsburg,ky,us,unknown,480
10/11/12 01:00,worcester,ma,us,unknown,4
10/11/12 02:45,watchung (was my perspective),nj,us,sphere,3600
10/11/12 04:00,tewksbury,ma,us,light,2
10/11/12 07:00,bablyon,ny,,disk,120
10/11/12 08:00,angola,in,us,cigar,7200
10/11/12 19:30,arbutus,md,us,light,300
10/11/12 19:30,forty fort,pa,us,fireball,720
10/11/12 19:45,saratoga springs,ny,us,circle,300
10/11/12 20:00,nanticoke,pa,us,diamond,60
10/11/12 20:30,las cruces,nm,us,fireball,120
10/11/12 20:42,ravensdale,wa,us,triangle,10
10/11/12 21:00,levittown,pa,us,diamond,60
10/11/12 21:01,phoenix,az,us,sphere,30
10/11/12 22:15,blue island,il,us,circle,45
10/11/13 01:00,saginaw,mi,us,chevron,4
10/11/13 03:00,hamilton (canada),on,ca,cylinder,3600
